Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,United Kingdom,GBR,109010.0021,109440.0024,109680.0003,110839.9963,112580.0018,113290.0009,114040.0009,113260.0021,112400.0015,109889.9994,106000,101110.0006,99010.00214,94860.00061,89860.00061,86260.00214,81989.99786,77779.99878,72459.99908,67199.99695,62340.00015,58799.99924,56779.99878,53139.99939,50759.99832,50110.00061,51599.99847,51340.00015,50779.99878,50110.00061
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,India,IND,509160.0037,514710.022,516179.9927,520169.9829,523830.0171,533150.0244,542679.9927,550789.978,559469.9707,566979.9805,571710.022,574159.9731,566900.0244,574059.9976,580469.9707,593390.0146,601729.9805,613549.9878,620820.0073,617539.978,623369.9951,629590.0269,628099.9756,632020.0195,634940.0024,638820.0073,643010.0098,647380.0049,654320.0073,656650.0244
