Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,India,IND,54.59486389,56.18213272,60.1,50.9,49.81130981,51.40877533,53.00352097,54.59486389,56.18213272,60.1,58.72147369,55.79999924,62.29999924,64.04748535,64.40000153,67.5798111,67.90000153,71.11986542,72.89938354,75,76.30000305,67.59999847,79.90000153,81.99932861,83.87249756,88,89.21779633,92.12494659,95.69999695,97.30826569
